🕘️更新时间,#genre#
2025-12-22 10:02:03

📺全部频道,#genre#
CCTV-1,http://223.167.230.5:4022/rtp/239.45.3.145:5140
CCTV-1,http://111.162.207.175:8686/rtp/225.1.1.120:5002
CCTV-1,http://114.254.38.27:18888/rtp/239.3.1.129:8008
CCTV-1,http://183.236.43.98:4013/udp/239.77.1.144:5146
CCTV-1,http://123.191.26.168:1111/rtp/232.0.0.27:1234
CCTV-1,http://114.100.195.238:4022/rtp/238.1.78.166:7200
CCTV-1,http://121.29.141.118:4022/rtp/239.253.92.83:8012
CCTV-1,http://144.255.32.94:8288/udp/239.21.1.120:5002
CCTV-1,http://171.113.210.161:4022/rtp/239.254.96.96:8550
CCTV-1,http://27.191.202.231:19999/rtp/239.254.200.45:8008
CCTV-1,http://106.83.116.40:8188/rtp/235.254.198.51:1480
CCTV-1,http://121.235.95.126:8199/rtp/239.49.8.19:9614
CCTV-1,http://115.171.80.250:1688/rtp/225.1.8.1:8008
CCTV-1,http://115.171.80.250:1688/rtp/225.1.8.33:8002
CCTV-1,http://106.118.20.104:8188/rtp/239.254.200.45:8008
CCTV-1,http://58.46.71.35:8188/udp/239.76.251.87:9000
CCTV-1,http://115.171.80.250:1688/rtp/225.1.8.81:8176
CCTV-1,http://58.46.71.35:8188/udp/239.76.253.151:9000
CCTV-1,http://222.82.203.33:8188/udp/238.125.5.1:5140
CCTV-1,http://222.82.203.33:8188/udp/238.125.5.96:5140
CCTV-2,http://111.162.207.175:8686/rtp/225.1.1.133:5002
CCTV-2,http://121.29.141.118:4022/rtp/239.253.92.190:6065
CCTV-2,http://171.113.210.161:4022/rtp/239.69.1.102:10250
CCTV-2,http://114.254.38.27:18888/rtp/239.3.1.60:8084
CCTV-2,http://183.236.43.98:4013/udp/239.77.1.158:5146
CCTV-2,http://144.255.32.94:8288/udp/239.21.1.151:5002
CCTV-2,http://27.191.202.231:19999/rtp/239.254.200.158:6000
CCTV-2,http://123.191.26.168:1111/rtp/232.0.0.135:1234
CCTV-2,http://175.8.182.37:7878/udp/239.76.246.152:1234
CCTV-2,http://121.235.95.126:8199/rtp/239.49.8.50:9802
CCTV-2,http://58.46.71.35:8188/udp/239.76.246.152:1234
CCTV-2,http://115.171.80.250:1688/rtp/225.1.8.2:8084
CCTV-2,http://114.100.195.238:4022/rtp/238.1.78.235:7752
CCTV-2,http://175.8.182.37:7878/udp/239.76.253.152:9000
CCTV-2,http://144.255.31.207:6688/udp/239.21.1.151:5002
CCTV-2,http://106.118.20.104:8188/rtp/239.254.200.158:6000
CCTV-2,http://106.83.116.40:8188/rtp/235.254.198.52:1484
CCTV-2,http://58.46.71.35:8188/udp/239.76.253.152:9000
CCTV-2,http://222.82.203.33:8188/udp/238.125.5.20:5140
CCTV-2,http://171.104.106.97:50112/udp/239.81.0.115:4056
CCTV-3,http://yp.qqqtv.top/1/api.php?id=CCTV-3HD&auth=666858
CCTV-3,http://223.167.230.5:4022/rtp/239.45.1.68:5140
CCTV-3,http://111.162.207.175:8686/rtp/225.1.1.158:5002
CCTV-3,http://144.255.32.94:8288/udp/239.21.2.45:5002
CCTV-3,http://114.100.195.238:4022/rtp/238.1.78.170:7232
CCTV-3,http://183.236.43.98:4013/udp/239.77.0.169:5146
CCTV-3,http://171.113.210.161:4022/rtp/239.69.1.122:10370
CCTV-3,http://114.254.38.27:18888/rtp/239.3.1.172:8001
CCTV-3,http://115.171.216.84:4000/rtp/225.1.8.88:8000
CCTV-3,http://113.119.27.173:58888/udp/239.77.0.169:5146
CCTV-3,http://58.46.71.35:8188/udp/239.76.246.153:1234
CCTV-3,http://58.46.71.35:8188/udp/239.76.253.153:9000
CCTV-3,http://27.191.202.231:19999/rtp/239.254.201.152:7205
CCTV-3,http://115.171.216.39:4000/rtp/225.1.8.88:8000
CCTV-3,http://123.191.26.168:1111/rtp/232.0.0.170:1234
CCTV-3,http://115.171.80.250:1688/rtp/225.1.8.88:8000
CCTV-3,http://106.118.20.104:8188/rtp/239.254.201.152:7205
CCTV-3,http://144.255.31.207:6688/udp/239.21.2.45:5002
CCTV-3,http://116.235.57.19:4022/rtp/239.45.1.68:5140
CCTV-3,http://175.8.182.37:7878/udp/239.76.253.153:9000
CCTV-4,http://yp.qqqtv.top/1/api.php?id=CCTV-4HD&auth=666858
CCTV-4,http://111.162.207.175:8686/rtp/225.1.1.150:5002
CCTV-4,http://121.29.141.118:4022/rtp/239.253.92.251:6141
CCTV-4,http://223.167.230.5:4022/rtp/239.45.0.2:5140
CCTV-4,http://144.255.32.94:8288/udp/239.21.1.154:5002
CCTV-4,http://183.236.43.98:4013/udp/239.77.1.163:5146
CCTV-4,http://123.191.26.168:1111/rtp/232.0.0.201:1234
CCTV-4,http://113.119.27.173:58888/udp/239.77.1.163:5146
CCTV-4,http://114.100.195.238:4022/rtp/238.1.78.236:7760
CCTV-4,http://121.235.95.126:8199/rtp/239.49.8.131:6000
CCTV-4,http://171.113.210.161:4022/rtp/239.69.1.138:10466
CCTV-4,http://175.8.182.37:7878/udp/239.76.253.95:9000
CCTV-4,http://27.191.202.231:19999/rtp/239.254.200.190:6307
CCTV-4,http://116.235.57.19:4022/rtp/239.45.0.2:5140
CCTV-4,http://58.46.71.35:8188/udp/239.76.253.95:9000
CCTV-4,http://175.8.182.37:7878/udp/239.76.253.154:9000
CCTV-4,http://175.8.182.37:7878/udp/239.76.246.96:1234
